Warning ID,Antibiotic ID,Headline,Warning Type,Warning Description,Reference ID
W054,A009,Fertility,Pregnancy & Lactation,"In fertility studies conducted in rat, reduced pregnancy rates were noted following administration of azithromycin. The relevance of this finding to humans is unknown.",R009
W055,A010,Overdosage,Overdosage,Do not exceed the recommended doses. In case of overdosage consult the physician immediately.,R010
W056,A010,Hypersensitivity,Contraindication,Hypersensitivity to azithromycin or any of the macrolide antibiotics. Co-administration with ergot derivatives.,R010
W057,A010,Use In Pregnancy,Pregnancy & Lactation,Azithromycin should only be used during pregnancy if it is clearly indicated. Caution should be taken when administered to a pregnant woman.,R010
W058,A010,Use in Lactation,Pregnancy & Lactation,It is not known whether azithromycin is excreted in human milk. Caution should be taken when administered to a nursing woman.,R010
W059,A011,Overdosage,Overdosage,"Gastrointestinal effects eg, nausea, vomiting and diarrhea may be evident, and symptoms of water/electrolyte imbalance should be treated symptomatically. Amoxicillin crystalluria, in some cases leading to renal failure, has been observed. Amoxil can be removed from the circulation by hemodialysis.",R011
W060,A011,Hypersensitivity,Contraindication,"Amoxicillin (Amoxil) is a penicillin and should not be given to patients w/ history of hypersensitivity to ß-lactam antibiotics (eg, penicillins, cephalosporins).",R011
W061,A011,Use in Pregnancy,Pregnancy & Lactation,The safety of Amoxil/Amoxil Forte for use in human pregnancy has not been established by well-controlled studies in pregnant women. Reproduction studies have been performed in mice and rats at doses up to 10 times the human dose and these studies have revealed no evidence of impaired fertility or harm to the fetus due to amoxicillin.,R011
W062,A011,Use in Pregnancy,Pregnancy & Lactation,Amoxil may be used in pregnancy when the potential benefits outweigh the potential risks associated with treatment.,R011
W063,A011,Use in Lactation,Pregnancy & Lactation,"Amoxil may be given during lactation. With the exception of the risk of sensitization associated with the excretion of trace quantities of amoxicillin in breast milk, there are no known detrimental effects for the breastfed infant.",R011
W064,A012,Overdosage,Overdosage,"Amoxicillin is of low toxicity, although nausea, vomiting, diarrhea, and allergic manifestations may occur. Symptomatic treatment is required for almost all patients. Problems are unlikely if adequate fluid intake and urinary output are maintained; however, crystalluria and hemorrhagic cystitis are possible.",R012
W065,A012,Hypersensitivity,Contraindication,Hypersensitivity to penicillins and to any ingredient in the products.,R012
W066,A012,Infectious Mononucleosis,Patient Condition,Patients with infectious mononucleosis due to possible development of rash during therapy.,R012
W067,A012,Use in Pregnancy,Pregnancy & Lactation,Amoxicillin has been administered to pregnant women without evidence of adverse effects to the fetus. The use of amoxicillin is currently included in the US Center for Disease Control and Prevention (CDC) recommendations for the treatment of chlamydial infections during pregnancy and for the treatment of cutaneous anthrax or for post-exposure prophylaxis after exposure to Bacillus anthracis spores.,R012
